# Conditional Probability Table for Variable A
#A, P(A)
#0, 0.1
#1, 0.9

A,,
0.1,,

# Conditional Probability Table for Variable B
#B, P(B)
#0, 0.11
#1, 0.89

B,,
0.11,,

# Conditional Probability Table for Variable C
#C, P(C)
#0, 0.12
#1, 0.88

C,,
0.12,,

# Conditional Probability Table for Variable D
#D, P(D)
#0, 0.13
#1, 0.87

D,,
0.13,,

# Conditional Probability Table for Variable E
#A, B, E, P(E|A,B)
#0, 0, 0, 0.14
#0, 0, 1, 0.86
#0, 1, 0, 0.15
#0, 1, 1, 0.85
#1, 0, 0, 0.16
#1, 0, 1, 0.84
#1, 1, 0, 0.17
#1, 1, 1, 0.83

A,B,E
T,T,0.14
T,F,0.15
F,T,0.16
F,F,0.17

# Conditional Probability Table for Variable F
#F, P(F)
#0, 0.18
#1, 0.82

F,,
0.18,,

# Conditional Probability Table for Variable G
#C, D, G, P(G|C,D)
#0, 0, 0, 0.19
#0, 0, 1, 0.81
#0, 1, 0, 0.20
#0, 1, 1, 0.80
#1, 0, 0, 0.21
#1, 0, 1, 0.79
#1, 1, 0, 0.22
#1, 1, 1, 0.78

C,D,G
T,T,0.19
T,F,0.20
F,T,0.21
F,F,0.22

# Conditional Probability Table for Variable H
#E, F, G, H, P(H|E,F,G)
#0, 0, 0, 0, 0.23
#0, 0, 0, 1, 0.77
#0, 0, 1, 0, 0.24
#0, 0, 1, 1, 0.76
#0, 1, 0, 0, 0.25
#0, 1, 0, 1, 0.75
#0, 1, 1, 0, 0.26
#0, 1, 1, 1, 0.74
#1, 0, 0, 0, 0.27
#1, 0, 0, 1, 0.73
#1, 0, 1, 0, 0.28
#1, 0, 1, 1, 0.72
#1, 1, 0, 0, 0.29
#1, 1, 0, 1, 0.71
#1, 1, 1, 0, 0.30
#1, 1, 1, 1, 0.70

E,F,G,H
T,T,T,0.23
T,T,F,0.24
T,F,T,0.25
T,F,F,0.26
F,T,T,0.27
F,T,F,0.28
F,F,T,0.29
F,F,F,0.30

# Conditional Probability Table for Variable I
#I, P(I)
#0, 0.31
#1, 0.69

I,,
0.31,,

# Conditional Probability Table for Variable J
#H, I, J, P(J|H,I)
#0, 0, 0, 0.32
#0, 0, 1, 0.68
#0, 1, 0, 0.33
#0, 1, 1, 0.67
#1, 0, 0, 0.34
#1, 0, 1, 0.66
#1, 1, 0, 0.35
#1, 1, 1, 0.65

H,I,J
T,T,0.32
T,F,0.33
F,T,0.34
F,F,0.35

