web-scraper-order,web-scraper-start-url,product_name,test_methodology,price,price-href,release_year,neutral_sound,wireless_gaming,headphone_type,comfort,weight,controls_rating,os_compatibility,controls_ease_of_use,breathability,portability,build_quality,frequency_response_consistency,frc_std,peaks_dips,imaging,battery,app_support,ios_support,android_support,macos_support,windows_support,bluetooth_rating,bluetooth_version,latency_aptx,latency_sbc,aac_support,brand_name
"1702359442-1","https://www.rtings.com/headphones/tools/table/126803","Sony WH-1000XM5 Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B09XS7JWHH?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.3","5.9","Over-ear","7.0","0.55 lbs","7.6","Not OS specific","Good","","6.0","7.5","8.0","0.39 dB","7.6","8.8","8.5","8.0","Yes","Yes","No","No","8.7","5.2","N/A","241 ms","Yes","Sony"
"1702359442-2","https://www.rtings.com/headphones/tools/table/126803","Sony WH-1000XM4 Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0863TXGM3?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.2","5.8","Over-ear","8.0","0.6 lbs","7.6","Not OS specific","Good","5.4","6.1","8.0","8.2","0.35 dB","7.5","8.6","8.7","8.0","Yes","Yes","No","No","8.6","5.010","N/A","245 ms","Yes","Sony"
"1702359442-3","https://www.rtings.com/headphones/tools/table/126803","Razer Hammerhead True Wireless Pro","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08D1RSCRL?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.6","5.8","In-ear","7.0","0.02 lbs","6.0","Not OS specific","Okay","9.2","9.3","7.5","9.2","0.17 dB","7.8","8.2","6.8","7.5","Yes","Yes","No","No","6.8","5.1","N/A","259 ms","","Razer"
"1702359442-4","https://www.rtings.com/headphones/tools/table/126803","EPOS GTW 270 Hybrid Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08QW21QDT?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.5","6.7","In-ear","7.5","0.03 lbs","5.2","Not OS specific","Good","9.2","9.4","8.0","9.6","0.09 dB","6.8","7.9","4.8","7.5","No","No","Yes","Yes","8.4","5.1","108 ms","100 ms","","EPOS"
"1702359442-5","https://www.rtings.com/headphones/tools/table/126803","Razer Hammerhead Pro HyperSpeed True Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0C3G2PMC8?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.2","6.9","In-ear","7.0","0.03 lbs","7.6","Not OS specific","Decent","","9.5","7.5","7.8","0.44 dB","7.7","8.4","6.9","7.0","Yes","Yes","No","No","7.0","5.3","N/A","88 ms","Yes","Razer"
"1702359442-6","https://www.rtings.com/headphones/tools/table/126803","Sony INZONE Buds Truly Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0CJHB7B59?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.0","7.2","In-ear","7.0","0.03 lbs","6.7","Not OS specific","Good","","9.5","7.0","8.6","0.29 dB","7.1","8.2","7.8","8.5","No","No","No","Yes","3.3","5.3","N/A","N/A","No","Sony"
"1702359442-7","https://www.rtings.com/headphones/tools/table/126803","Bose QuietComfort Headphones Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0CCZ1SQ8G?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.3","6.2","Over-ear","8.5","0.52 lbs","8.1","Not OS specific","Good","","6.4","7.5","7.7","0.45 dB","7.3","8.3","8.6","8.0","Yes","Yes","No","No","8.5","5.1","N/A","172 ms","","Bose"
"1702359442-8","https://www.rtings.com/headphones/tools/table/126803","Astro A20 Gen 2 Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B08DHH74JQ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.3","7.2","Over-ear","7.0","0.7 lbs","6.2","PC/PS4","Good","6.5","5.4","7.5","8.0","0.39 dB","7.3","4.0","8.3","0.0","No","No","No","No","0.0","No Bluetooth","N/A","N/A","No","Astro"
"1702359442-9","https://www.rtings.com/headphones/tools/table/126803","Sennheiser HD 450BT Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B083W7V3RG?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.1","5.4","Over-ear","7.0","0.53 lbs","6.5","Not OS specific","Mediocre","","6.0","7.0","6.3","0.83 dB","7.0","6.9","7.6","7.0","Yes","Yes","No","No","7.9","5.010","264 ms","268 ms","Yes","Sennheiser"
"1702359442-10","https://www.rtings.com/headphones/tools/table/126803","Anker Soundcore Space Q45 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0CF1Q5NQG?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","6.8","5.8","Over-ear","7.5","0.65 lbs","7.8","Not OS specific","Decent","","6.0","7.5","7.7","0.45 dB","6.3","8.7","8.7","8.0","Yes","Yes","No","No","8.9","5.3","N/A","214 ms","","Anker"
